id,run_id,timeStep,numberPedsInformed-PID12,numberPedsAll-PID12,percentageInformed-PID12
0,0,0.0,0,30,0.0
0,0,0.4000000000000057,0,30,0.0
0,0,0.8000000000000114,0,30,0.0
0,0,1.2000000000000028,13,30,0.4333333333333333
0,0,1.6000000000000083,13,30,0.4333333333333333
0,0,2.0,30,30,1.0
1,0,0.0,0,70,0.0
1,0,0.4000000000000057,0,70,0.0
1,0,0.8000000000000114,0,71,0.0
1,0,1.2000000000000028,40,71,0.5633802816901409
1,0,1.6000000000000083,40,71,0.5633802816901409
1,0,2.0,72,72,1.0
2,0,0.0,0,50,0.0
2,0,0.4000000000000057,0,50,0.0
2,0,0.8000000000000114,0,50,0.0
2,0,1.2000000000000028,31,50,0.62
2,0,1.6000000000000083,31,50,0.62
2,0,2.0,52,52,1.0
3,0,0.0,0,94,0.0
3,0,0.4000000000000057,0,94,0.0
3,0,0.8000000000000114,0,94,0.0
3,0,1.2000000000000028,56,95,0.5894736842105263
3,0,1.6000000000000083,56,96,0.5833333333333334
3,0,2.0,96,96,1.0
4,0,0.0,0,44,0.0
4,0,0.4000000000000057,0,45,0.0
4,0,0.8000000000000114,0,45,0.0
4,0,1.2000000000000028,31,45,0.6888888888888889
4,0,1.6000000000000083,31,45,0.6888888888888889
4,0,2.0,45,45,1.0
5,0,0.0,0,67,0.0
5,0,0.4000000000000057,0,67,0.0
5,0,0.8000000000000114,0,67,0.0
5,0,1.2000000000000028,35,69,0.5072463768115942
5,0,1.6000000000000083,35,69,0.5072463768115942
5,0,2.0,68,68,1.0
6,0,0.0,0,57,0.0
6,0,0.4000000000000057,0,60,0.0
6,0,0.8000000000000114,0,60,0.0
6,0,1.2000000000000028,37,60,0.6166666666666667
6,0,1.6000000000000083,37,60,0.6166666666666667
6,0,2.0,61,61,1.0
7,0,0.0,0,105,0.0
7,0,0.4000000000000057,0,105,0.0
7,0,0.8000000000000114,0,105,0.0
7,0,1.2000000000000028,60,105,0.5714285714285714
7,0,1.6000000000000083,60,106,0.5660377358490566
7,0,2.0,107,107,1.0
8,0,0.0,0,23,0.0
8,0,0.4000000000000057,0,24,0.0
8,0,0.8000000000000114,0,24,0.0
8,0,1.2000000000000028,15,24,0.625
8,0,1.6000000000000083,15,24,0.625
8,0,2.0,25,25,1.0
9,0,0.0,0,71,0.0
9,0,0.4000000000000057,0,71,0.0
9,0,0.8000000000000114,0,71,0.0
9,0,1.2000000000000028,41,71,0.5774647887323944
9,0,1.6000000000000083,41,72,0.5694444444444444
9,0,2.0,73,73,1.0
10,0,0.0,0,55,0.0
10,0,0.4000000000000057,0,55,0.0
10,0,0.8000000000000114,0,55,0.0
10,0,1.2000000000000028,35,55,0.6363636363636364
10,0,1.6000000000000083,35,55,0.6363636363636364
10,0,2.0,55,55,1.0
11,0,0.0,0,85,0.0
11,0,0.4000000000000057,0,86,0.0
11,0,0.8000000000000114,0,86,0.0
11,0,1.2000000000000028,54,86,0.627906976744186
11,0,1.6000000000000083,54,86,0.627906976744186
11,0,2.0,87,87,1.0
12,0,0.0,0,30,0.0
12,0,0.4000000000000057,0,30,0.0
12,0,0.8000000000000114,0,30,0.0
12,0,1.2000000000000028,21,30,0.7
12,0,1.6000000000000083,21,30,0.7
12,0,2.0,31,31,1.0
13,0,0.0,0,85,0.0
13,0,0.4000000000000057,0,85,0.0
13,0,0.8000000000000114,0,84,0.0
13,0,1.2000000000000028,50,84,0.5952380952380952
13,0,1.6000000000000083,50,84,0.5952380952380952
13,0,2.0,85,85,1.0
