id,run_id,"('Parameter', 'vadere', 'fixedSeed')","('Parameter', 'vadere', 'reactionProbabilities.[stimulusId==-400].reactionProbability')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
0,0,74895,1.0,155.3591332435608,0
1,0,4271,1.0,133.48140025138855,0
2,0,56216,1.0,162.55093264579773,0
3,0,63251,1.0,164.55327248573303,0
4,0,75772,1.0,162.67269921302795,0
5,0,1945,1.0,150.7876341342926,0
6,0,27014,1.0,143.64159607887268,0
7,0,60632,1.0,158.42553687095642,0
8,0,64396,1.0,141.31644701957703,0
9,0,36376,1.0,160.35270071029663,0
10,0,85652,1.0,147.83477759361267,0
11,0,21002,1.0,163.0216600894928,0
12,0,4510,1.0,167.20626592636108,0
13,0,68246,1.0,172.32264137268066,0
14,0,64237,1.0,163.01220655441284,0
15,0,42962,1.0,156.30754685401917,0
16,0,9974,1.0,159.4433455467224,0
17,0,32768,1.0,162.27602314949036,0
18,0,97721,1.0,164.8829083442688,0
19,0,47338,1.0,163.00418758392334,0
20,0,5841,1.0,160.92667531967163,0
21,0,55103,1.0,160.62089467048645,0
22,0,18179,1.0,161.2241027355194,0
23,0,79062,1.0,137.05228328704834,0
24,0,46542,1.0,166.38692235946655,0
25,0,50018,1.0,155.36006832122803,0
26,0,55216,1.0,168.1955051422119,0
27,0,37175,1.0,157.66493844985962,0
28,0,88469,1.0,162.39169883728027,0
29,0,34383,1.0,161.5963499546051,0
30,0,59878,1.0,162.87692666053772,0
31,0,22895,1.0,162.6567361354828,0
32,0,89898,1.0,159.5274157524109,0
33,0,39729,1.0,135.86068105697632,0
34,0,86750,1.0,163.01229429244995,0
35,0,47526,1.0,143.73999214172363,0
36,0,17430,1.0,159.3946132659912,0
37,0,59891,1.0,140.9007227420807,0
38,0,31377,1.0,113.68201160430908,0
39,0,57626,1.0,134.51994609832764,0
40,0,80390,1.0,145.2947542667389,0
41,0,49184,1.0,165.57944130897522,0
42,0,5802,1.0,160.6628656387329,0
43,0,76407,1.0,162.36730670928955,0
44,0,532,1.0,138.67430543899536,0
45,0,30888,1.0,141.61005783081055,0
46,0,17561,1.0,165.7192759513855,0
47,0,25553,1.0,160.86541509628296,0
48,0,39697,1.0,162.1398048400879,0
49,0,70300,1.0,163.58189177513123,0
50,0,47992,1.0,150.87613940238953,0
51,0,31482,1.0,139.03749752044678,0
52,0,41205,1.0,164.74881434440613,0
53,0,87385,1.0,147.88072896003723,0
54,0,71957,1.0,162.66740250587463,0
55,0,59065,1.0,155.99808049201965,0
56,0,57152,1.0,157.87108635902405,0
57,0,61601,1.0,164.39290618896484,0
58,0,8519,1.0,173.09328722953796,0
59,0,85588,1.0,158.7523877620697,0
60,0,76618,1.0,162.49109172821045,0
61,0,42558,1.0,137.4838399887085,0
62,0,65788,1.0,162.57256746292114,0
63,0,20503,1.0,163.68869853019714,0
64,0,29400,1.0,164.0798933506012,0
65,0,54116,1.0,145.95119047164917,0
66,0,31245,1.0,162.5596103668213,0
67,0,4840,1.0,158.61550450325012,0
68,0,4162,1.0,165.99099469184875,0
69,0,65091,1.0,163.9764585494995,0
70,0,39475,1.0,160.27179384231567,0
71,0,79519,1.0,165.49899196624756,0
72,0,86232,1.0,166.3642177581787,0
73,0,9442,1.0,161.13109707832336,0
74,0,69925,1.0,159.46328949928284,0
75,0,10611,1.0,162.92739510536194,0
76,0,19620,1.0,160.9540205001831,0
77,0,50387,1.0,160.85289096832275,0
78,0,74349,1.0,161.65126490592957,0
79,0,49044,1.0,161.6033763885498,0
80,0,78815,1.0,162.03158617019653,0
81,0,19617,1.0,159.99034976959229,0
82,0,14801,1.0,160.22213435173035,0
83,0,12663,1.0,157.9382905960083,0
84,0,57875,1.0,163.163334608078,0
85,0,21806,1.0,141.55241918563843,0
86,0,25026,1.0,166.41329050064087,0
87,0,45703,1.0,163.58463764190674,0
88,0,56785,1.0,160.82262444496155,0
89,0,54275,1.0,162.48077201843262,0
90,0,58407,1.0,137.2264585494995,0
91,0,32176,1.0,159.93661785125732,0
92,0,89233,1.0,112.13598799705505,0
93,0,36006,1.0,156.1806104183197,0
94,0,18811,1.0,157.89615964889526,0
95,0,80905,1.0,158.74458956718445,0
96,0,68401,1.0,158.9003586769104,0
97,0,23392,1.0,155.61988401412964,0
98,0,15661,1.0,137.9882457256317,0
99,0,35000,1.0,162.0090618133545,0
100,0,74895,0.5,141.33219623565674,0
101,0,4271,0.5,143.9584186077118,0
102,0,56216,0.5,144.7859365940094,0
103,0,63251,0.5,143.40681552886963,0
104,0,75772,0.5,144.1972587108612,0
105,0,1945,0.5,142.06014204025269,0
106,0,27014,0.5,144.36786222457886,0
107,0,60632,0.5,148.77384686470032,0
108,0,64396,0.5,143.60647296905518,0
109,0,36376,0.5,146.56096482276917,0
110,0,85652,0.5,144.21851086616516,0
