id,run_id,"('Parameter', 'dummy_var', 'condition')","('Parameter', 'dummy_var', 'statistic')","('Parameter', 'vadere', 'fixedSeed')","('Parameter', 'vadere', 'routeChoices.[instruction==""use target 11""].targetProbabilities')","('Parameter', 'vadere', ""routeChoices.[instruction=='use target 21'].targetProbabilities"")","('Parameter', 'vadere', 'routeChoices.[instruction==use target 31].targetProbabilities')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
0,0,A1,Students,74895,"[1.0, 0.0, 0.0]","[0.75, 0.25, 0.0]","[0.4, 0.35, 0.25]",235.19716095924377,0
1,0,A1,Students,4271,"[1.0, 0.0, 0.0]","[0.75, 0.25, 0.0]","[0.4, 0.35, 0.25]",207.8048837184906,0
2,0,A1,Students,56216,"[1.0, 0.0, 0.0]","[0.75, 0.25, 0.0]","[0.4, 0.35, 0.25]",236.64031147956848,0
3,0,A1,Students,63251,"[1.0, 0.0, 0.0]","[0.75, 0.25, 0.0]","[0.4, 0.35, 0.25]",213.58920431137085,0
4,0,A1,Students,75772,"[1.0, 0.0, 0.0]","[0.75, 0.25, 0.0]","[0.4, 0.35, 0.25]",256.0058560371399,0
5,0,A1,Fans,74895,"[1.0, 0.0, 0.0]","[0.71, 0.29, 0.0]","[0.35, 0.36, 0.29]",203.91736388206482,0
6,0,A1,Fans,4271,"[1.0, 0.0, 0.0]","[0.71, 0.29, 0.0]","[0.35, 0.36, 0.29]",242.5511314868927,0
7,0,A1,Fans,56216,"[1.0, 0.0, 0.0]","[0.71, 0.29, 0.0]","[0.35, 0.36, 0.29]",187.97473168373108,0
8,0,A1,Fans,63251,"[1.0, 0.0, 0.0]","[0.71, 0.29, 0.0]","[0.35, 0.36, 0.29]",232.20525431632996,0
9,0,A1,Fans,75772,"[1.0, 0.0, 0.0]","[0.71, 0.29, 0.0]","[0.35, 0.36, 0.29]",208.82256770133972,0
10,0,A2,Students,74895,"[1.0, 0.0, 0.0]","[0.75, 0.25, 0.0]","[0.4, 0.35, 0.25]",244.55383777618408,0
11,0,A2,Students,4271,"[1.0, 0.0, 0.0]","[0.75, 0.25, 0.0]","[0.4, 0.35, 0.25]",198.59139966964722,0
12,0,A2,Students,56216,"[1.0, 0.0, 0.0]","[0.75, 0.25, 0.0]","[0.4, 0.35, 0.25]",228.7775900363922,0
13,0,A2,Students,63251,"[1.0, 0.0, 0.0]","[0.75, 0.25, 0.0]","[0.4, 0.35, 0.25]",209.94365286827087,0
14,0,A2,Students,75772,"[1.0, 0.0, 0.0]","[0.75, 0.25, 0.0]","[0.4, 0.35, 0.25]",242.54107093811035,0
15,0,A2,Fans,74895,"[1.0, 0.0, 0.0]","[0.73, 0.27, 0.0]","[0.38, 0.35, 0.27]",192.3899142742157,0
16,0,A2,Fans,4271,"[1.0, 0.0, 0.0]","[0.73, 0.27, 0.0]","[0.38, 0.35, 0.27]",228.4705514907837,0
17,0,A2,Fans,56216,"[1.0, 0.0, 0.0]","[0.73, 0.27, 0.0]","[0.38, 0.35, 0.27]",209.53464674949646,0
18,0,A2,Fans,63251,"[1.0, 0.0, 0.0]","[0.73, 0.27, 0.0]","[0.38, 0.35, 0.27]",232.08928275108337,0
19,0,A2,Fans,75772,"[1.0, 0.0, 0.0]","[0.73, 0.27, 0.0]","[0.38, 0.35, 0.27]",206.1080093383789,0
20,0,A3,Students,74895,"[1.0, 0.0, 0.0]","[0.74, 0.26, 0.0]","[0.38, 0.36, 0.26]",212.58933520317078,0
21,0,A3,Students,4271,"[1.0, 0.0, 0.0]","[0.74, 0.26, 0.0]","[0.38, 0.36, 0.26]",206.66025471687317,0
22,0,A3,Students,56216,"[1.0, 0.0, 0.0]","[0.74, 0.26, 0.0]","[0.38, 0.36, 0.26]",206.2451310157776,0
23,0,A3,Students,63251,"[1.0, 0.0, 0.0]","[0.74, 0.26, 0.0]","[0.38, 0.36, 0.26]",208.97365760803223,0
24,0,A3,Students,75772,"[1.0, 0.0, 0.0]","[0.74, 0.26, 0.0]","[0.38, 0.36, 0.26]",209.7865035533905,0
25,0,A3,Fans,74895,"[1.0, 0.0, 0.0]","[0.75, 0.25, 0.0]","[0.4, 0.35, 0.25]",212.82132005691528,0
