condition,route,q1,q3,mean,median
A1,RouteA,0.285714285714286,0.384615384615385,0.356018283392585,0.4
A1,RouteB,0.428571428571429,0.307692307692308,0.358963941086846,0.4
A1,RouteC,0.285714285714286,0.307692307692308,0.285017775520569,0.2
A2,RouteA,0.375,0.384615384615385,0.37703173374613,0.4
A2,RouteB,0.375,0.307692307692308,0.353618421052632,0.4
A2,RouteC,0.25,0.307692307692308,0.269349845201238,0.2
A3,RouteA,0.5,0.416666666666667,0.398398398398398,0.4
A3,RouteB,0.25,0.333333333333333,0.354254254254254,0.4
A3,RouteC,0.25,0.25,0.247347347347347,0.2
A4,RouteA,0.5,0.384615384615385,0.381116132835528,0.4
A4,RouteB,0.25,0.307692307692308,0.348005502063274,0.4
A4,RouteC,0.25,0.307692307692308,0.270878365101199,0.2
B1,RouteA,0.333333333333333,0.357142857142857,0.33155959752322,0.333333333333333
B1,RouteB,0.333333333333333,0.285714285714286,0.315982972136223,0.333333333333333
B1,RouteC,0.333333333333333,0.357142857142857,0.352457430340557,0.333333333333333
B2,RouteA,0.333333333333333,0.384615384615385,0.349031560318553,0.333333333333333
B2,RouteB,0.333333333333333,0.307692307692308,0.315308229279324,0.333333333333333
B2,RouteC,0.333333333333333,0.307692307692308,0.335660210402124,0.333333333333333
B3,RouteA,0.307692307692308,0.357142857142857,0.341077085533263,0.363636363636364
B3,RouteB,0.307692307692308,0.285714285714286,0.29547854468657,0.272727272727273
B3,RouteC,0.384615384615385,0.357142857142857,0.363444369780167,0.363636363636364
B4,RouteA,0.428571428571429,0.377358490566038,0.37155052610681,0.4
B4,RouteB,0.285714285714286,0.30188679245283,0.304347826086956,0.3
B4,RouteC,0.285714285714286,0.320754716981132,0.324101647806234,0.3
