,vp
0,118.21438451491805
1,118.21438451491805
2,118.21438451491805
3,118.21438451491805
4,0.0001742496162893046
5,0.0001742496162893046
6,0.0001742496162893046
7,0.0001742496162893046
8,0.0007148219196498443
9,0.0007148219196498443
10,0.0007148219196498443
11,0.0007148219196498443
12,0.001070562611490652
13,0.001070562611490652
14,0.001070562611490652
15,0.001070562611490652
16,0.0013048005553865985
17,0.0013048005553865985
18,0.0013048005553865985
19,0.0013048005553865985
20,0.00145956734545296
21,0.00145956734545296
22,0.00145956734545296
23,0.00145956734545296
24,0.0015643207446792515
25,0.0015643207446792515
26,0.0015643207446792515
27,0.0015643207446792515
28,0.0016341894628085691
29,0.0016341894628085691
30,0.0016341894628085691
31,0.0016341894628085691
32,0.0016807693222912372
33,0.0016807693222912372
34,0.0016807693222912372
35,0.0016807693222912372
36,3.033571574239309e-05
37,3.033571574239309e-05
38,3.033571574239309e-05
39,3.033571574239309e-05
40,5.0243249071302205e-05
41,5.0243249071302205e-05
42,5.0243249071302205e-05
43,5.0243249071302205e-05
44,6.35388415199665e-05
45,6.35388415199665e-05
46,6.35388415199665e-05
47,6.35388415199665e-05
48,7.244870487774502e-05
49,7.244870487774502e-05
50,7.244870487774502e-05
51,7.244870487774502e-05
52,7.833614425253136e-05
53,7.833614425253136e-05
54,7.833614425253136e-05
55,7.833614425253136e-05
56,8.053092088196755e-05
57,8.053092088196755e-05
58,8.053092088196755e-05
59,8.053092088196755e-05
60,8.053092088196755e-05
61,8.053092088196755e-05
62,8.053092088196755e-05
63,8.053092088196755e-05
64,8.053092088196755e-05
65,8.053092088196755e-05
66,8.053092088196755e-05
67,8.053092088196755e-05
68,8.053092088196755e-05
69,8.053092088196755e-05
70,8.053092088196755e-05
71,8.053092088196755e-05
72,8.053092088196755e-05
73,8.053092088196755e-05
74,8.053092088196755e-05
75,8.053092088196755e-05
76,8.053092088196755e-05
77,8.053092088196755e-05
78,8.053092088196755e-05
79,8.053092088196755e-05
80,8.053092088196755e-05
81,8.053092088196755e-05
82,8.053092088196755e-05
83,8.053092088196755e-05
84,8.053092088196755e-05
85,8.053092088196755e-05
86,8.053092088196755e-05
87,8.053092088196755e-05
88,8.053092088196755e-05
89,8.053092088196755e-05
90,8.053092088196755e-05
91,8.053092088196755e-05
92,8.053092088196755e-05
93,8.053092088196755e-05
94,8.053092088196755e-05
95,8.053092088196755e-05
96,8.053092088196755e-05
97,8.053092088196755e-05
98,8.053092088196755e-05
99,8.053092088196755e-05
100,8.053092088196755e-05
101,8.053092088196755e-05
102,8.053092088196755e-05
103,8.053092088196755e-05
104,8.053092088196755e-05
105,8.053092088196755e-05
106,8.053092088196755e-05
107,8.053092088196755e-05
108,8.053092088196755e-05
109,8.053092088196755e-05
110,8.053092088196755e-05
111,8.053092088196755e-05
112,8.053092088196755e-05
113,8.053092088196755e-05
114,8.053092088196755e-05
115,8.053092088196755e-05
116,8.053092088196755e-05
117,8.053092088196755e-05
118,8.053092088196755e-05
119,8.053092088196755e-05
120,8.053092088196755e-05
121,8.053092088196755e-05
122,8.053092088196755e-05
123,8.053092088196755e-05
124,8.053092088196755e-05
125,8.053092088196755e-05
126,8.053092088196755e-05
127,8.053092088196755e-05
128,8.053092088196755e-05
129,8.053092088196755e-05
130,8.053092088196755e-05
131,8.053092088196755e-05
132,8.053092088196755e-05
133,8.053092088196755e-05
134,8.053092088196755e-05
135,8.053092088196755e-05
136,8.053092088196755e-05
137,8.053092088196755e-05
138,8.053092088196755e-05
139,8.053092088196755e-05
140,8.053092088196755e-05
141,8.053092088196755e-05
142,8.053092088196755e-05
143,8.053092088196755e-05
144,8.053092088196755e-05
145,8.053092088196755e-05
146,8.053092088196755e-05
147,8.053092088196755e-05
148,8.053092088196755e-05
149,8.053092088196755e-05
150,8.053092088196755e-05
151,8.053092088196755e-05
152,8.053092088196755e-05
153,8.053092088196755e-05
154,8.053092088196755e-05
155,8.053092088196755e-05
156,8.053092088196755e-05
157,8.053092088196755e-05
158,8.053092088196755e-05
159,8.053092088196755e-05
160,8.053092088196755e-05
161,8.053092088196755e-05
162,8.053092088196755e-05
163,8.053092088196755e-05
164,8.053092088196755e-05
165,8.053092088196755e-05
166,8.053092088196755e-05
167,8.053092088196755e-05
168,8.053092088196755e-05
169,8.053092088196755e-05
170,8.053092088196755e-05
171,8.053092088196755e-05
172,8.053092088196755e-05
173,8.053092088196755e-05
174,8.053092088196755e-05
175,8.053092088196755e-05
176,8.053092088196755e-05
177,8.053092088196755e-05
178,8.053092088196755e-05
179,8.053092088196755e-05
180,8.053092088196755e-05
181,8.053092088196755e-05
182,8.053092088196755e-05
183,8.053092088196755e-05
184,8.053092088196755e-05
185,8.053092088196755e-05
186,8.053092088196755e-05
187,8.053092088196755e-05
188,8.053092088196755e-05
189,8.053092088196755e-05
190,8.053092088196755e-05
191,8.053092088196755e-05
192,8.053092088196755e-05
193,8.053092088196755e-05
194,8.053092088196755e-05
195,8.053092088196755e-05
196,8.053092088196755e-05
197,8.053092088196755e-05
198,8.053092088196755e-05
199,8.053092088196755e-05
200,4.334409027845317e-05
201,4.334409027845317e-05
202,0.001392452614950505
203,0.001392452614950505
204,0.009052328958424316
205,0.009052328958424316
206,0.0315458419419762
207,0.0315458419419762
208,0.0809337957720303
209,0.0809337957720303
210,0.17239861980298488
211,0.17239861980298488
212,0.3209575126713294
213,0.3209575126713294
214,0.5317362909695694
215,0.5317362909695694
216,0.8186521519810321
217,0.8186521519810321
218,1.180303986099035
219,1.180303986099035
220,0.4559781265633897
221,0.4559781265633897
222,0.28864806774771845
223,0.28864806774771845
224,0.9370022320010158
225,0.9370022320010158
226,0.8989108350061384
227,0.5520568584993935
228,1.7130709087647595
229,1.3662169322580147
230,2.625658323961097
231,2.278804347454352
232,3.62617947427452
233,3.2793254977677746
234,4.712499029517314
235,4.365645053010569
236,5.900183133958721
237,5.553329157451976
238,7.174917587691306
239,6.828063611184561
240,8.18866486869059
241,9.64842457270166
242,11.558592327020152
243,11.211738350513407
244,13.226053456728263
245,12.879199480221518
246,13.226053456728263
247,14.963262576878499
248,14.616408600371754
249,14.963262576878499
250,16.74179772163601
251,16.394943745129265
252,16.74179772163601
253,18.554065552897193
254,18.554065552897193
255,20.399099904002014
256,20.399099904002014
257,20.399099904002014
258,22.23322975511622
259,22.23322975511622
260,22.23322975511622
261,1.8008206699565954
262,1.8008206699565954
263,1.8008206699565954
264,1.8008206699565954
265,3.6073339005442153
266,3.6073339005442153
267,3.6073339005442153
268,3.6073339005442153
269,3.6073339005442153
270,5.4209201130344065
271,5.4209201130344065
272,5.4209201130344065
273,5.4209201130344065
274,5.4209201130344065
275,7.2469557729475
276,7.2469557729475
277,7.2469557729475
278,7.2469557729475
279,7.2469557729475
280,7.2469557729475
281,9.079544140565906
282,9.079544140565906
283,9.079544140565906
284,9.079544140565906
285,9.079544140565906
286,9.079544140565906
287,10.959622191747608
288,10.959622191747608
289,10.959622191747608
290,10.959622191747608
291,10.959622191747608
292,10.959622191747608
293,12.881009697404473
294,12.881009697404473
295,12.881009697404473
296,12.881009697404473
297,12.881009697404473
298,12.881009697404473
299,14.832170160812122
300,14.832170160812122
301,14.832170160812122
302,14.832170160812122
303,14.832170160812122
304,14.832170160812122
305,16.816231520587657
306,16.816231520587657
307,16.816231520587657
308,16.816231520587657
309,16.816231520587657
310,16.816231520587657
311,18.844990080683555
312,18.844990080683555
313,18.844990080683555
314,18.844990080683555
315,18.844990080683555
316,18.844990080683555
317,18.844990080683555
318,20.925145240969172
319,20.925145240969172
320,20.925145240969172
321,20.925145240969172
322,20.925145240969172
323,20.925145240969172
324,20.925145240969172
325,20.925145240969172
326,23.018811096199716
327,23.018811096199716
328,23.018811096199716
329,23.018811096199716
330,23.018811096199716
331,23.018811096199716
332,23.018811096199716
333,25.160996553641226
334,25.160996553641226
335,25.160996553641226
336,25.160996553641226
337,25.160996553641226
338,25.160996553641226
339,25.160996553641226
340,27.369065777817543
341,27.369065777817543
342,27.369065777817543
343,27.369065777817543
344,27.369065777817543
345,27.369065777817543
346,27.369065777817543
347,29.642524059160333
348,29.642524059160333
349,29.642524059160333
350,29.642524059160333
351,29.642524059160333
352,29.642524059160333
353,29.642524059160333
354,29.642524059160333
355,29.642524059160333
356,31.9925039495876
357,31.9925039495876
358,31.9925039495876
359,31.9925039495876
360,31.9925039495876
361,31.9925039495876
362,31.9925039495876
363,31.9925039495876
364,31.9925039495876
365,34.33680789007146
366,34.33680789007146
367,34.33680789007146
368,34.33680789007146
369,34.33680789007146
370,34.33680789007146
371,34.33680789007146
372,34.33680789007146
373,34.33680789007146
374,36.741558214232306
375,36.741558214232306
376,36.741558214232306
377,36.741558214232306
378,36.741558214232306
379,36.741558214232306
380,36.741558214232306
381,36.741558214232306
382,39.23501446461706
383,39.23501446461706
384,39.23501446461706
385,39.23501446461706
386,39.23501446461706
387,39.23501446461706
388,39.23501446461706
389,39.23501446461706
390,41.81017903785966
391,41.81017903785966
392,41.81017903785966
393,41.81017903785966
394,41.81017903785966
395,41.81017903785966
396,41.81017903785966
397,44.44711160264475
398,44.44711160264475
399,44.44711160264475
400,44.44711160264475
401,44.44711160264475
402,44.44711160264475
403,44.44711160264475
404,46.89080816404953
405,46.89080816404953
406,46.89080816404953
407,46.89080816404953
408,46.89080816404953
409,46.89080816404953
410,49.41562920648553
411,49.41562920648553
412,49.41562920648553
413,49.41562920648553
414,49.41562920648553
415,49.41562920648553
416,52.03528660331408
417,52.03528660331408
418,52.03528660331408
419,52.03528660331408
420,52.03528660331408
421,52.03528660331408
422,54.701817147508535
423,54.701817147508535
424,54.701817147508535
425,54.701817147508535
426,54.701817147508535
427,54.701817147508535
428,57.42896938417234
429,57.42896938417234
430,57.42896938417234
431,57.42896938417234
432,57.42896938417234
433,59.999988187725116
434,59.999988187725116
435,59.999988187725116
436,59.999988187725116
437,62.61356752651319
438,62.61356752651319
439,62.61356752651319
440,62.61356752651319
441,65.29454409057111
442,65.29454409057111
443,65.29454409057111
444,68.01674210011687
445,0.651673858092991
446,0.6785265581546912
447,0.6785265581546912
448,0.7037913567790024
449,0.7037913567790024
450,0.7037913567790024
451,0.7265713963831087
