#+proj=utm +zone=32 +ellps=WGS84 +datum=WGS84 +units=m +no_defs
,geometry,base_x,base_y,utm_x,utm_y,lon,lat
0,POINT (11.56008162751348 48.15320885201938),562.9165124598851,750.5553499465135,690397.5615014735,5336498.6653352985,11.560081627513481,48.15320885201938
1,POINT (11.57491127319479 48.14702871967689),1688.7495373796553,100.5553499465135,691523.3945263933,5335848.6653352985,11.574911273194793,48.14702871967689
2,POINT (11.59032557154406 48.15253081028201),2814.5825622994253,750.5553499465135,692649.2275513131,5336498.6653352985,11.590325571544064,48.15253081028201
3,POINT (11.60515123155957 48.14634684167712),3940.415587219196,100.5553499465135,693775.0605762328,5335848.6653352985,11.60515123155957,48.14634684167712
4,POINT (11.62056839162909 48.15184481823917),5066.248612138966,750.5553499465135,694900.8936011526,5336498.6653352985,11.620568391629089,48.15184481823917
5,POINT (11.56066341163404 48.16489317852982),562.9165124598851,2050.5553499465136,690397.5615014735,5337798.6653352985,11.560663411634035,48.16489317852982
6,POINT (11.57549629833645 48.15871292298561),1688.7495373796553,1400.5553499465136,691523.3945263933,5337148.6653352985,11.575496298336448,48.15871292298561
7,POINT (11.59091421002957 48.16421486035069),2814.5825622994253,2050.5553499465136,692649.2275513131,5337798.6653352985,11.590914210029569,48.16421486035069
8,POINT (11.60574310843681 48.15803076698967),3940.415587219196,1400.5553499465136,693775.0605762328,5337148.6653352985,11.605743108436808,48.15803076698967
9,POINT (11.62116388356858 48.16352858863208),5066.248612138966,2050.5553499465136,694900.8936011526,5337798.6653352985,11.62116388356858,48.163528588632076
10,POINT (11.56124556635333 48.1765774758701),562.9165124598851,3350.5553499465136,690397.5615014735,5339098.6653352985,11.561245566353328,48.176577475870104
11,POINT (11.57608169610275 48.17039709706371),1688.7495373796553,2700.5553499465136,691523.3945263933,5338448.6653352985,11.57608169610275,48.170397097063706
12,POINT (11.59150322346736 48.17589888112448),2814.5825622994253,3350.5553499465136,692649.2275513131,5339098.6653352985,11.591503223467358,48.17589888112448
13,POINT (11.60633536228997 48.16971466294624),3940.415587219196,2700.5553499465136,693775.0605762328,5338448.6653352985,11.606335362289974,48.16971466294624
14,POINT (11.62175975481288 48.17521232960399),5066.248612138966,3350.5553499465136,694900.8936011526,5339098.6653352985,11.621759754812878,48.17521232960399
