#+proj=utm +zone=32 +ellps=WGS84 +datum=WGS84 +units=m +no_defs
,geometry,base_x,base_y,utm_x,utm_y,lon,lat
0,POINT (11.56665425099182 48.15461503665883),1474.9992412592476,2066.244873046875,690881.1242412593,5336671.244873047,11.566654250991824,48.154615036658825
1,POINT (11.57806166412401 48.14986060700919),2341.024645043686,1566.244873046875,691747.1496450437,5336171.244873047,11.578061664124013,48.14986060700919
2,POINT (11.58991943778027 48.1540928300714),3207.050048828125,2066.244873046875,692613.1750488281,5336671.244873047,11.589919437780267,48.1540928300714
3,POINT (11.60132449208431 48.14933613031777),4073.075452612564,1566.244873046875,693479.2004526126,5336171.244873047,11.601324492084307,48.14933613031777
4,POINT (11.61318395956422 48.15356591890009),4939.100856397003,2066.244873046875,694345.225856397,5336671.244873047,11.613183959564225,48.153565918900085
5,POINT (11.56710291458435 48.16360293428046),1474.9992412592476,3066.244873046875,690881.1242412593,5337671.244873047,11.56710291458435,48.16360293428046
6,POINT (11.57851224532623 48.15884843158319),2341.024645043686,2566.244873046875,691747.1496450437,5337171.244873047,11.578512245326234,48.15884843158319
7,POINT (11.59037215720155 48.16308056392656),3207.050048828125,3066.244873046875,692613.1750488281,5337671.244873047,11.590372157201552,48.163080563926556
8,POINT (11.60177912791832 48.15832379041778),4073.075452612564,2566.244873046875,693479.2004526126,5337171.244873047,11.601779127918318,48.15832379041778
9,POINT (11.6136407343997 48.16255348751674),4939.100856397003,3066.244873046875,694345.225856397,5337671.244873047,11.613640734399695,48.16255348751674
10,POINT (11.56755179800188 48.17259081462606),1474.9992412592476,4066.244873046875,690881.1242412593,5338671.244873047,11.567551798001885,48.172590814626055
11,POINT (11.5789630472754 48.1678362388536),2341.024645043686,3566.244873046875,691747.1496450437,5338171.244873047,11.578963047275398,48.1678362388536
12,POINT (11.59082509842923 48.17206828044885),3207.050048828125,4066.244873046875,692613.1750488281,5338671.244873047,11.590825098429226,48.172068280448855
13,POINT (11.60223398647986 48.16731143315716),4073.075452612564,3566.244873046875,693479.2004526126,5338171.244873047,11.602233986479865,48.16731143315716
14,POINT (11.61409773302258 48.17154103874322),4939.100856397003,4066.244873046875,694345.225856397,5338671.244873047,11.61409773302258,48.17154103874322
