#+proj=utm +zone=32 +ellps=WGS84 +datum=WGS84 +units=m +no_defs
,geometry,base_x,base_y,utm_x,utm_y,lon,lat
0,POINT (11.5603502685646 48.1532028644383),582.9165124598851,750.5553499465135,690417.5615014735,5336498.6653352985,11.5603502685646,48.1532028644383
1,POINT (11.57517987887071 48.1470226980122),1708.7495373796553,100.5553499465135,691543.3945263933,5335848.6653352985,11.575179878870706,48.1470226980122
2,POINT (11.59059420266938 48.1525247520806),2834.5825622994253,750.5553499465135,692669.2275513131,5336498.6653352985,11.590594202669383,48.1525247520806
3,POINT (11.60541982725577 48.14634074940972),3960.415587219196,100.5553499465135,693795.0605762328,5335848.6653352985,11.605419827255774,48.146340749409724
4,POINT (11.62083701271271 48.15183868942398),5086.248612138966,750.5553499465135,694920.8936011526,5336498.6653352985,11.620837012712713,48.151838689423975
5,POINT (11.56093211357174 48.16488718850754),582.9165124598851,2050.5553499465136,690417.5615014735,5337798.6653352985,11.56093211357174,48.16488718850754
6,POINT (11.57576496487561 48.1587068988659),1708.7495373796553,1400.5553499465136,691543.3945263933,5337148.6653352985,11.575764964875614,48.1587068988659
7,POINT (11.59118290203343 48.16420879967934),2834.5825622994253,2050.5553499465136,692669.2275513131,5337798.6653352985,11.59118290203343,48.16420879967934
8,POINT (11.60601176498818 48.15802467223855),3960.415587219196,1400.5553499465136,693795.0605762328,5337148.6653352985,11.606011764988176,48.15802467223855
9,POINT (11.6214325655226 48.16352245731822),5086.248612138966,2050.5553499465136,694920.8936011526,5337798.6653352985,11.621432565522603,48.16352245731822
10,POINT (11.56151432921629 48.17657148340551),582.9165124598851,3350.5553499465136,690417.5615014735,5339098.6653352985,11.561514329216292,48.17657148340551
11,POINT (11.57635042354382 48.17039107048789),1708.7495373796553,2700.5553499465136,691543.3945263933,5338448.6653352985,11.576350423543822,48.17039107048789
12,POINT (11.59177197638843 48.1758928179821),2834.5825622994253,3350.5553499465136,692669.2275513131,5339098.6653352985,11.591771976388426,48.1758928179821
13,POINT (11.60660407973515 48.16970856571026),3960.415587219196,2700.5553499465136,693795.0605762328,5338448.6653352985,11.60660407973515,48.16970856571026
14,POINT (11.62202849767596 48.17520619579035),5086.248612138966,3350.5553499465136,694920.8936011526,5339098.6653352985,11.622028497675961,48.17520619579035
